ingresos_mensuales,cambios_ingreso,tdc_limite_credito,tdc_saldo_actual,porcentaje_utilizacion,riesgo_desempleo,prob_desempleo,variacion_score_crediticio,pago_minimo_mensual,pago_real_ultimo_mes,monto_ultimo_pago,dias_atraso_actual,monto_recuperado,historial_llamadas_realizadas,tasa_respuesta_llamadas,historial_sms_enviados,tasa_lectura_sms,historial_email_enviados,tasa_apertura_email,historial_whatsapp,tasa_respuesta_whatsapp,interaccion_negativa,num_interacciones_recientes,dias_desde_ultima_interaccion,edad,ocupacion,estado_civil,region,antiguedad_laboral,cambio_empleo_reciente,sentimiento_ultima_interaccion,tono_cliente,vulnerabilidad_detectada,nombre_tdc,fecha_ultimo_pago,fecha_ultimo_contacto,pago_30d,solucion_aceptada,resultado_convenio,canal_preferido_cliente,monto_gasto_salud_3m,numero_de_quejas
19984.45,-64.00249301,47787.22735592555,8329.655804127568,0.001743072,0.064375947,0.073979081,-57,229.32078138753377,232.6244737178052,232.6244737178052,120,1238.1913368795642,2,0.215097437,4,0.7725743146622309,6,0.2942532680642539,10,0.7506381516518124,0,22,11,47,Empleado,Casado,Norte,38,0,,Cansado,0,Platinum,18/09/2024,18:59.0,0,Prorroga,Exitoso,WhatsApp,1667.0233523368595,0
54132.79,888.8715010895053,120363.95968487168,75086.35401011707,0.006238275,0.1783515782443274,0.1552939496447208,-28,3216.2007518281034,1604.4690471735576,1604.4690471735576,0,0,2,0.3698831856922741,4,0.781036054,5,0.4557531171309754,7,0.7241946959306977,1,18,15,40,Empleado,Casado,Centro,15,0,1.8299773878001688,Molesto,1,Platinum,24/09/2024,18:59.0,0,Consolidacion,Pendiente,SMS,1738.2530312442686,0
58417.82,1640.8831249870975,146710.27666126643,38013.79562914861,0.002591079,0.076385347,0.2207181704048302,42,1390.948623,2906.0822239444137,2906.0822239444137,60,23646.397548907014,7,0.1829444989435622,4,0.696858081,0,0.525258198,3,0.5344353476442267,0,14,6,49,Jubilado,Casado,Oriente,33,0,-1.543063058,Neutral,0,Oro,23/08/2024,18:59.0,0,Ninguna,Fallido,WhatsApp,306.29589153682434,1
11643.06,1089.108032897703,24166.578298106662,9212.571668718574,0.003812113,0.1343755439994878,0.2251095403283206,-2,329.0936563707047,965.8872887948548,965.8872887948548,30,3052.990097729941,4,0.5247540466889128,5,0.5991776445140731,8,0.3809055507385163,3,0.7876075015642139,0,20,0,60,Empleado,Casado,Centro,10,0,4.610515636987783,Cansado,0,Platinum,17/09/2024,18:59.0,1,Prorroga,Exitoso,Llamada,2833.177667649474,0
49204.7,1401.2500477657763,115311.27678192825,19287.691909661626,0.001672663,0.074896389,0.1956091660902535,63,548.8703578603515,785.7768073,785.7768073,30,2723.303543,2,0.3878978550901026,6,0.5502410852485649,6,0.5173246596297787,4,0.7812220755975583,0,18,6,39,Independiente,Casado,Occidente,6,0,-0.058232441,Cansado,0,Black,10/08/2024,18:59.0,1,Prorroga,Exitoso,SMS,1668.7822955056763,0
43973.61,-3240.217964,137303.03707599925,55436.176012111806,0.004037505,0.3590715539408333,0.087322443,-18,1826.2069370793647,2469.7294758360035,2469.7294758360035,0,0,5,0.3095216200065149,2,0.667199778,2,0.6910124653800058,9,0.8850081872313562,0,18,14,39,Empleado,Casado,Centro,18,0,4.635194325,Ansioso,1,Oro,28/09/2024,18:59.0,1,Congelacion_intereses,Exitoso,WhatsApp,1181.0221968536994,1
68333.6,4114.557121608455,148048.30565814563,44872.038733318754,0.003030905,0.1924982899907838,0.4663793298535986,1,2010.674726953083,2021.032024140919,2021.032024140919,0,0,3,0.3791614855476425,4,0.7116480145421481,1,0.1041653636708086,10,0.6726567957124583,0,18,36,60,Empleado,Casado,Occidente,53,0,-1.320303091,Cansado,1,Clasica,08/08/2024,18:59.0,0,Reestructuracion,Exitoso,Llamada,4161.847786005696,1
33896.42,808.3777983225665,115589.92660249802,60284.29009,0.005215358,0.2658131383697072,0.2535832170088483,-78,2088.537716064617,699.5134032734178,699.5134032734178,0,0,0,0.3630153744080688,3,0.947875051,3,0.410947454,7,0.84268292,0,13,26,51,Empleado,Soltero,Oriente,99,0,3.5132016497824927,Cansado,1,Black,06/10/2024,18:59.0,1,Reestructuracion,Pendiente,Email,2015.766145772195,0
26198.15,2339.103228163637,69109.85581964905,39327.239953739736,0.00569054,0.1657598216243324,0.042437653,-8,1025.8274920301517,462.7037508561403,462.7037508561403,0,0,5,0.6457853597406004,4,0.6217483005616407,5,0.1874657852623441,3,0.8442929907529788,0,17,14,36,Empleado,Soltero,Sur,24,1,-6.905204876,Cansado,0,Oro,18/10/2024,18:59.0,0,Consolidacion,Fallido,Llamada,1433.9880845379075,0
53483.58,1461.435498012195,105991.8376570654,27479.730069709676,0.002592627,0.220786414,0.1967615817622224,-14,905.8033469529277,1957.404491,1957.404491,0,0,4,0.3785883945263765,5,0.9204172098795804,8,0.4300975180012242,3,0.8689724952259422,0,20,40,48,Empleado,Casado,Norte,41,0,0.2906872405303424,Cansado,0,Platinum,16/08/2024,18:59.0,1,Reestructuracion,Fallido,SMS,2984.0293772352857,2
40918.69,-2577.072696,139254.65195364083,69217.34972672253,0.004970559,0.008845912,0.4229089500549663,-93,1805.333291852669,1230.4772720418896,1230.4772720418896,0,0,1,0.3350311628886953,3,0.4902328770528425,4,0.3858120505736785,8,0.4881196553491516,0,16,0,36,Independiente,Soltero,Centro,4,0,0.060931363,Neutral,1,Black,03/09/2024,18:59.0,0,Prorroga,Fallido,Email,5466.695589171328,0
103459.87,-1715.859477,266549.1517481612,157823.32823405808,0.005920984,0.1688226151915139,0.2325058698766811,-22,6000.886768154858,7670.573246349713,7670.573246349713,15,85376.24100427725,2,0.2562828365873443,5,0.965295423,1,0.5446470189472913,5,0.5670928685186307,0,13,5,36,Empleado,Casado,Occidente,93,1,3.1645705216156017,Cooperativo,0,Clasica,06/10/2024,18:59.0,1,Ninguna,Fallido,Llamada,5912.652648756743,0
47821.22,-1312.226737,131357.27949947724,109791.14835039458,0.008358208,0.1783282944152453,0.039613794,9,3665.560593590382,6453.713979212171,6453.713979212171,0,0,7,0.2867440313390515,7,0.6039054603960279,7,0.3922225651746169,3,0.806269801,0,24,4,44,Empleado,Soltero,Sur,33,0,-3.802576285,Cansado,0,Black,14/09/2024,18:59.0,0,Prorroga,Pendiente,WhatsApp,7451.056552668218,0
29499.51,2872.2015881638454,62386.48167756454,15151.439666248189,0.002428641,0.2071360497654909,0.1845740391545868,-71,424.9019761079246,892.3854954292511,892.3854954292511,15,1039.5220464043764,4,0.4336912458757874,6,0.6187658500149634,4,0.4677861878197442,5,,1,19,30,22,Empleado,Soltero,Norte,60,0,0.1706233880567151,Cooperativo,0,Clasica,24/09/2024,18:59.0,1,Pago_a_plazos,Fallido,Llamada,6953.457456291953,0
13300.24,-2406.314205,31476.68420599739,10132.98705013482,0.003219204,0.094873531,0.1657725941940037,37,424.9917272521437,1191.9227339429897,1191.9227339429897,15,3048.543211211829,5,0.3318313501821598,3,0.4255145058132504,5,0.535760344,3,0.7110032745572634,0,16,1,22,Independiente,Casado,Sur,63,1,2.3505884870577747,Molesto,1,Oro,18/08/2024,18:59.0,0,Ninguna,Pendiente,Email,3959.207993638582,0
18985.86,-3132.492624,56885.14249,20861.027154795574,0.003667219,0.1194542918054093,0.5490958781167877,-55,767.5841157271531,1048.172180071158,1048.172180071158,15,9876.606939,7,0.1891814402597857,2,0.4485432027515032,2,0.5706850034412315,9,0.643957692,1,20,47,35,Empleado,Viudo,Oriente,11,1,4.282289909651753,Cooperativo,1,Platinum,20/09/2024,18:59.0,1,Reestructuracion,Exitoso,Email,3507.3716911660617,0
11366.51,1073.1236863776685,22855.186935430924,12436.285530600027,0.005441341,0.193574727,0.059220201,6,431.5878641025231,168.22893990008612,168.22893990008612,0,0,4,0.3002244465246126,5,0.8565216654301333,3,0.6198567101715045,2,0.5764250474624146,0,14,4,29,Empleado,Soltero,Occidente,30,0,-5.05799871,Molesto,1,Platinum,19/08/2024,18:59.0,0,Prorroga,Fallido,Email,407.3162664149332,0
23646.32,4381.897390520751,65495.10524726335,14936.274987288858,0.002280518,0.043575181,0.2127718333682138,81,610.0032428577665,965.6787456511768,965.6787456511768,30,10527.31377657035,1,0.5894317092283632,8,0.5406166230175526,4,0.5430340508611071,5,0.7206924034719353,1,18,5,45,Empleado,Casado,Centro,129,0,-2.059000063,Cooperativo,0,Black,25/09/2024,18:59.0,0,Reestructuracion,Exitoso,WhatsApp,1817.8085951239077,0
46893.79,-2104.125817,139696.07062961388,30687.21724369327,0.002196713,0.1442436223572488,0.1336810178333597,12,1119.469014296758,501.5455425404528,501.5455425404528,30,8059.154755957683,3,0.3560561400373807,2,0.8906813454519126,9,0.2730729531009112,4,0.3640568443984161,1,18,27,31,Empleado,Casad0,Norte,3,0,0.4065611093701235,Neutral,0,Black,06/08/2024,18:59.0,1,Pago_a_plazos,Exitoso,Llamada,1788.019193496887,1
26843.99,3583.8364778957266,48402.996679660246,25261.52231050803,0.005219,0.5159074915665055,0.1764142471769046,-19,664.5082998099869,1671.5153885947454,1671.5153885947454,45,1590.5905461725388,5,0.491721776,6,0.6615142297783944,1,0.194690253,4,0.6287164274361715,1,16,6,25,Empleado,Soltero,Sur,45,0,4.437029607685968,Neutral,0,Platinum,27/08/2024,18:59.0,1,Pago_a_plazos,Pendiente,Email,548.0694235468076,0
49663.98,1865.913447612039,160110.70851573104,33808.60736334833,0.002111577,0.3617641069383099,0.1977858813549073,0,1019.585673,1974.338079105912,1974.338079105912,45,19261.76328,5,0.2298183691183631,1,0.5280964901451373,4,0.4608919101447919,5,0.8185673684746236,1,15,24,59,Independiente,Casado,Norte,131,0,-1.949021821,Cooperativo,0,Platinum,23/10/2024,18:59.0,0,Congelacion_intereses,Fallido,WhatsApp,2930.621195424564,0
32943.33,-1053.88504,62452.86480796676,55024.63144,0.008810586,0.1291733895342102,0.3269966353465436,53,2006.784317725458,3279.8432900437224,3279.8432900437224,30,15425.509295573347,4,0.2863681594394218,2,0.4900654017278115,5,0.2325675132237718,3,0.8723277180295479,0,14,19,39,Empleado,Casado,Norte,14,0,3.1350887599209507,Molesto,1,Platinum,20/10/2024,18:59.0,1,Congelacion_intereses,Fallido,SMS,4437.068636324117,0
21123.57,-3306.618935,46889.347103613225,19756.977379085736,0.004213532,0.053578973,0.3296633808440202,-10,535.6133981825748,342.0931612564564,342.0931612564564,15,7749.333777202856,5,0.4015783955946249,3,0.6490597848297658,3,0.2820660162199743,4,0.7706311843256313,0,15,2,42,Empleado,Casado,Oriente,79,1,-4.795105837,Molesto,1,Oro,19/09/2024,18:59.0,0,Prorroga,Fallido,WhatsApp,2117.828712899853,0
28355.47,-843.2208147,97486.85238,73247.37957439288,0.007513565,0.2335539932272028,0.2340517437791174,-64,2197.512576718035,2979.604209981712,2979.604209981712,0,0,6,0.1170371584023113,7,0.8014143299748142,2,0.4074088822702482,11,0.6520545520437473,0,26,11,24,Empleado,Divorciado,Oriente,108,0,-4.362254055,Cooperativo,0,Clasica,04/08/2024,18:59.0,0,Prorroga,Exitoso,Llamada,3448.556581710145,0
35712.57,-1977.625402,69202.72369093068,29639.372223814124,0.004282978,0.160916006,0.100013672,-31,1100.4736393342655,768.1072099820283,768.1072099820283,15,3513.126753559228,3,0.1171751481130095,6,0.3558867471635544,7,0.3422236875878381,3,0.8707113741522632,1,19,11,35,Independiente,Soltero,Norte,54,0,-1.263265671,Cooperativo,0,Black,24/10/2024,18:59.0,1,Consolidacion,Fallido,Email,4139.875886221344,0
29247.05,3000.7989891641446,93710.44222905596,30510.495398806936,0.003255827,0.2414742612740928,0.1519750392671578,-26,1327.5710675278126,332.6781953961477,332.6781953961477,120,4840.634512,5,0.1044869467835074,4,0.6200354800139165,5,0.6840346134625902,6,0.8565798122684699,0,20,0,43,Empleado,Soltero,Norte,10,0,0.8953433972673923,Cooperativo,0,Clasica,02/10/2024,18:59.0,0,Reestructuracion,Pendiente,Llamada,6147.122618057667,0
